"unigram","bigram","trigram","quadgram","quantgram","freq"
"to","doing","this","project","with",2
"to","explain","why","i","was",2
"to","figure","out","what","to",2
"to","find","out","how","to",2
"to","get","into","this","when",2
"to","get","out","of","here",2
"to","get","something","out","of",2
"to","get","the","house","ready",2
"to","get","them","both","off",2
"to","give","you","an","idea",2
"to","go","to","the","bathroom",2
"to","have","a","little","fun",2
"to","have","an","open","mind",2
"to","ignore","reality","in","favour",2
"to","leave","a","comment","on",2
"to","legislate","on","those","matters",2
"to","let","me","know","that",2
"to","live","like","we","want",2
"to","make","an","impact","on",2
"to","me","at","the","end",2
"to","me","by","a","friend",2
"to","remember","what","it","was",2
"to","see","if","i","could",2
"to","see","if","they","could",2
"to","see","what","would","happen",2
"to","spend","my","time","with",2
"to","take","better","care","of",2
"to","take","it","all","in",2
"to","the","bill","of","rights",2
"to","the","right","of","the",2
"to","the","way","things","were",2
"to","this","elite","that","the",2
"to","those","who","havent","seen",2
"to","win","one","of","two",2
"too","much","for","me","to",2
"too","much","time","on","their",2
"tribute","to","one","of","the",2
"try","to","cut","it","down",2
"trying","to","figure","out","her",2
"trying","to","get","it","to",2
"turns","out","there","are","a",2
"turns","out","to","be","an",2
"two","ways","by","submitting","photos",2
"university","of","chicago","chicago","illinois",2
"until","a","few","weeks","ago",2
"up","give","him","a","good",2
"up","in","the","morning","feeling",2
"use","of","infant","formula","supplemented",2
"using","the","spectrum","noir","markers",2
"very","little","in","the","way",2
"walk","over","there","and","crack",2
"want","to","be","there","for",2
"want","to","get","into","this",2
"want","to","know","the","truth",2
"wanted","nothing","to","do","with",2
"was","a","time","when","we",2
"was","in","this","same","region",2
"was","never","going","to","be",2
"was","one","of","the","most",2
"was","selected","th","overall","in",2
"was","so","excited","to","finally",2
"was","so","much","fun","i",2
"was","that","there","was","a",2
"was","the","first","time","i",2
"was","the","last","time","you",2
"ways","by","submitting","photos","and",2
"we","are","at","the","end",2
"we","had","such","a","great",2
"we","looked","at","each","other",2
"we","made","it","to","the",2
"we","never","settle","for","what",2
"we","were","lucky","to","have",2
"we","were","on","our","way",2
"website","by","click","on","the",2
"week","of","the","warm","up",2
"went","to","the","bus","stop",2
"were","caught","charged","and","given",2
"were","given","the","opportunity","to",2
"were","lucky","to","have","a",2
"what","are","you","doing","to",2
"what","do","you","like","about",2
"what","do","you","think","is",2
"what","has","been","up","with",2
"what","he","wants","to","do",2
"what","is","going","on","so",2
"what","is","the","right","balance",2
"what","is","worst","in","the",2
"what","it","comes","down","to",2
"what","it","will","look","like",2
"what","its","like","to","live",2
"what","to","do","with","the",2
"what","was","going","to","happen",2
"what","was","right","in","front",2
"what","would","happen","in","the",2
"what","you","would","like","to",2
"when","i","came","back","i",2
"when","it","comes","to","our",2
"when","sal","takes","you","he",2
"when","the","bran","is","removed",2
"when","was","the","last","time",2
"when","we","got","to","the",2
"when","we","went","to","the",2
"when","you","think","about","it",2
"where","does","it","come","from",2
"whether","he","was","thinking","of",2
"whether","hes","going","to","be",2
"which","i","will","show","you",2
"which","is","a","good","thing",2
"while","the","rest","of","the",2
"who","grew","up","in","the",2
"why","dont","you","look","at",2
"why","the","siren","likes","it",2
"will","be","able","to","find",2
"will","be","part","of","a",2
"will","give","you","the","desires",2
"will","go","a","long","way",2
"will","i","go","with","him",2
"will","look","and","feel","like",2
"will","tell","you","though","that",2
"winter","sure","was","cold","and",2
"with","all","due","respect","to",2
"with","all","your","heart","and",2
"with","all","your","soul","and",2
"with","assists","for","points","in",2
"with","bits","and","pieces","of",2
"with","the","blood","of","the",2
"with","the","scriptures","and","that",2
"with","too","much","time","on",2
"without","having","to","deal","with",2
"work","of","the","holy","spirit",2
"work","with","her","she","was",2
"worst","in","the","medical","system",2
"would","have","loved","to","have",2
"would","it","be","too","much",2
"would","love","to","have","a",2
"would","love","to","hear","from",2
"would","want","to","have","a",2
"wrist","man","up","give","him",2
"wrist","you","walk","over","there",2
"ye","shall","keep","it","a",2
"year","in","the","life","of",2
"years","this","is","the","first",2
"yes","i","would","like","to",2
"you","are","being","obedient","to",2
"you","can","find","a","copy",2
"you","can","think","about","is",2
"you","had","to","go","to",2
"you","have","no","idea","how",2
"you","have","to","do","is",2
"you","he","has","you","for",2
"you","know","the","ending","to",2
"you","may","participate","in","the",2
"you","need","to","get","out",2
"you","only","have","to","look",2
"you","see","your","son","dropping",2
"you","should","have","seen","me",2
"you","sure","you","want","to",2
"you","the","desires","of","your",2
"you","walk","over","there","and",2
"you","want","to","get","into",2
"your","god","with","all","your",2
"your","heart","and","with","all",2
"your","son","dropping","the","limp",2
"your","soul","and","with","all",2
