"unigram","bigram","trigram","quadgram","freq"
"have","gone","to","the",2
"have","had","enough","of",2
"have","loved","to","have",2
"have","made","the","heavens",2
"have","much","in","common",2
"have","much","to","say",2
"have","no","idea","its",2
"have","nothing","to","do",2
"have","something","to","say",2
"have","the","opportunity","to",2
"have","the","power","to",2
"have","time","to","get",2
"have","to","admit","that",2
"have","to","be","the",2
"have","to","do","with",2
"have","to","drive","minutes",2
"have","to","go","back",2
"have","to","go","through",2
"have","to","look","at",2
"have","to","say","it",2
"have","to","share","this",2
"have","you","ever","seen",2
"have","you","ever","wanted",2
"havent","been","able","to",2
"having","a","great","week",2
"having","so","much","fun",2
"having","to","deal","with",2
"he","can","no","longer",2
"he","had","done","to",2
"he","has","you","for",2
"he","has","you","in",2
"he","is","going","to",2
"he","is","not","a",2
"he","is","trying","to",2
"he","knew","what","was",2
"he","looked","like","an",2
"he","looks","at","me",2
"he","loves","his","paci",2
"he","makes","a","friend",2
"he","started","the","year",2
"he","told","us","to",2
"he","wanted","it","to",2
"he","wanted","to","go",2
"he","wants","to","do",2
"he","was","a","boy",2
"he","was","in","the",2
"he","was","inspired","by",2
"he","was","just","being",2
"he","was","thinking","of",2
"he","will","give","you",2
"headed","off","to","the",2
"health","at","every","size",2
"health","res","world","parsons",2
"heard","a","lot","of",2
"heart","and","with","all",2
"heart","chakra","sets","us",2
"heart","it","was","the",2
"heart","just","wasnt","in",2
"heat","and","humidity","for",2
"heat","oil","in","a",2
"heavens","and","new","earth",2
"heck","of","a","lot",2
"held","her","family","together",2
"hell","of","a","lot",2
"help","but","want","to",2
"helps","you","to","win",2
"henry","bar","when","i",2
"her","and","give","her",2
"her","and","she","was",2
"her","favorite","part","of",2
"her","head","with","a",2
"her","in","the","face",2
"her","time","on","the",2
"here","are","some","photos",2
"here","i","am","going",2
"here","is","the","recipe",2
"here","to","tell","you",2
"here","you","can","also",2
"heres","a","picture","of",2
"hes","not","going","to",2
"high","as","one","in",2
"hike","down","the","cliff",2
"him","a","good","punch",2
"him","to","stay","in",2
"his","life","for","the",2
"his","point","of","view",2
"his","struggles","to","get",2
"history","of","our","world",2
"hm","love","at","first",2
"homes","are","charged","as",2
"hope","everyone","is","well",2
"hope","you","all","have",2
"hope","you","are","all",2
"hopefully","i","will","be",2
"house","with","no","home",2
"how","awesome","i","am",2
"how","can","that","be",2
"how","could","i","have",2
"how","do","you","know",2
"how","i","feel","about",2
"how","it","happens","i",2
"how","many","of","them",2
"how","my","body","looks",2
"how","my","boobs","are",2
"how","on","earth","do",2
"how","to","build","and",2
"how","to","get","an",2
"how","to","use","them",2
"however","they","are","not",2
"hydrogen","and","oxygen","and",2
"hz","and","the","modulating",2
"i","absolutely","love","the",2
"i","absolutely","love","this",2
"i","added","a","strip",2
"i","also","decided","to",2
"i","also","had","an",2
"i","also","know","that",2
"i","also","love","the",2
"i","also","managed","to",2
"i","also","think","that",2
"i","also","want","to",2
"i","always","wanted","to",2
"i","am","a","terrible",2
"i","am","certain","that",2
"i","am","deeply","grateful",2
"i","am","definitely","not",2
"i","am","filled","with",2
"i","am","grateful","for",2
"i","am","guilty","of",2
"i","am","happy","to",2
"i","am","honored","to",2
"i","am","just","going",2
"i","am","looking","forward",2
"i","am","not","but",2
"i","am","not","in",2
"i","am","not","the",2
"i","am","now","on",2
"i","am","planning","on",2
"i","am","ready","to",2
"i","am","so","sorry",2
"i","am","sure","i",2
"i","am","talking","about",2
"i","am","the","only",2
"i","am","trying","to",2
"i","am","willing","to",2
"i","appreciate","their","efforts",2
"i","are","going","to",2
"i","belieeeeve","that","love",2
"i","came","back","i",2
"i","came","to","a",2
"i","can","get","my",2
"i","can","imagine","the",2
"i","can","only","hope",2
"i","can","safely","say",2
"i","can","see","the",2
"i","cannot","think","of",2
"i","cant","believe","how",2
"i","cant","believe","it",2
"i","cant","go","back",2
"i","cant","listen","to",2
"i","consider","to","be",2
"i","could","do","with",2
"i","could","have","saved",2
"i","could","imagine","was",2
"i","could","no","longer",2
"i","could","not","believe",2
"i","could","see","them",2
"i","couldnt","get","enough",2
"i","decided","not","to",2
"i","decided","to","check",2
"i","decided","to","go",2
"i","decided","to","make",2
"i","did","a","little",2
"i","did","it","i",2
"i","did","manage","to",2
"i","did","not","have",2
"i","did","not","know",2
"i","didnt","even","see",2
"i","didnt","have","a",2
"i","didnt","have","an",2
"i","didnt","have","the",2
"i","didnt","have","time",2
"i","didnt","know","how",2
"i","didnt","take","a",2
"i","didnt","take","pictures",2
"i","didnt","talk","to",2
"i","didnt","think","so",2
"i","do","a","lot",2
"i","do","believe","i",2
"i","do","have","to",2
"i","do","know","a",2
"i","do","know","i",2
"i","do","not","feel",2
"i","dont","have","much",2
"i","dont","have","one",2
"i","dont","know","whether",2
"i","dont","think","it",2
"i","dont","think","ive",2
"i","dont","think","so",2
"i","dont","think","the",2
"i","dont","understand","why",2
"i","dont","want","them",2
"i","dont","want","this",2
"i","ended","up","with",2
"i","enjoyed","this","one",2
"i","even","had","the",2
"i","ever","dreamed","of",2
"i","feel","i","have",2
"i","feel","like","im",2
"i","feel","so","much",2
"i","felt","like","it",2
"i","felt","that","i",2
"i","finally","made","it",2
"i","find","it","easiest",2
"i","forgot","to","pack",2
"i","found","out","that",2
"i","gave","her","a",2
"i","give","you","the",2
"i","go","to","get",2
"i","go","to","my",2
"i","go","with","him",2
"i","got","into","the",2
"i","got","some","great",2
"i","got","to","know",2
"i","got","to","try",2
"i","got","to","work",2
"i","guess","what","i",2
"i","had","a","few",2
"i","had","a","hard",2
"i","had","a","moment",2
"i","had","a","nice",2
"i","had","a","really",2
"i","had","been","in",2
"i","had","never","been",2
"i","had","to","explain",2
"i","had","to","go",2
"i","had","to","take",2
"i","hate","the","way",2
"i","have","a","good",2
"i","have","a","little",2
"i","have","a","secret",2
"i","have","absolutely","no",2
"i","have","always","been",2
"i","have","always","found",2
"i","have","been","a",2
"i","have","been","able",2
"i","have","been","feeling",2
"i","have","been","friends",2
"i","have","been","given",2
"i","have","been","practicing",2
"i","have","been","wanting",2
"i","have","been","working",2
"i","have","days","where",2
"i","have","done","a",2
"i","have","ever","known",2
"i","have","found","a",2
"i","have","had","this",2
"i","have","had","to",2
"i","have","made","to",2
"i","have","most","of",2
"i","have","never","heard",2
"i","have","not","had",2
"i","have","plenty","of",2
"i","have","so","many",2
"i","have","the","most",2
"i","have","to","agree",2
"i","have","to","do",2
"i","have","to","fill",2
"i","have","wanted","to",2
"i","havent","been","able",2
"i","havent","been","in",2
"i","hope","i","can",2
"i","hope","to","have",2
"i","hope","to","see",2
"i","hope","you","are",2
"i","hope","you","enjoyed",2
"i","hope","you","like",2
"i","just","feel","like",2
"i","just","had","to",2
"i","just","love","the",2
"i","just","think","this",2
"i","knew","it","would",2
"i","know","better","than",2
"i","know","he","was",2
"i","know","i","promised",2
"i","know","it","is",2
"i","know","of","your",2
"i","know","some","of",2
"i","know","that","as",2
"i","know","that","this",2
"i","know","they","are",2
"i","know","what","youre",2
"i","know","you","will",2
"i","laid","out","the",2
"i","lay","on","the",2
"i","learn","how","to",2
"i","leave","the","house",2
"i","like","that","shes",2
"i","like","the","idea",2
"i","like","the","way",2
"i","like","to","call",2
"i","like","to","have",2
"i","look","forward","to",2
"i","love","a","good",2
"i","love","how","the",2
"i","love","love","love",2
"i","love","my","family",2
"i","love","my","life",2
"i","love","that","this",2
"i","love","this","film",2
"i","made","this","card",2
"i","may","have","been",2
"i","may","have","to",2
"i","may","not","be",2
"i","mean","no","criticism",2
"i","need","to","figure",2
"i","need","to","find",2
"i","need","to","go",2
"i","need","to","know",2
"i","need","to","work",2
"i","needed","to","get",2
"i","never","thought","id",2
"i","never","would","have",2
"i","often","feel","like",2
"i","only","have","to",2
"i","picked","them","up",2
"i","plan","to","give",2
"i","probably","would","have",2
"i","really","did","not",2
"i","really","dont","know",2
"i","really","dont","want",2
"i","really","enjoyed","the",2
"i","really","have","to",2
"i","really","like","how",2
"i","really","liked","the",2
"i","really","need","to",2
"i","really","needed","that",2
"i","really","want","to",2
"i","received","an","email",2
"i","registered","for","the",2
"i","remember","that","the",2
"i","remember","thinking","i",2
"i","sat","in","the",2
"i","should","point","out",2
"i","still","cant","believe",2
"i","still","have","not",2
"i","stood","in","the",2
"i","suppose","i","should",2
"i","suppose","you","could",2
"i","thank","god","for",2
"i","think","he","is",2
"i","think","i","am",2
"i","think","i","have",2
"i","think","i","just",2
"i","think","i","know",2
"i","think","i","might",2
"i","think","it","is",2
"i","think","it","will",2
"i","think","it","would",2
"i","think","that","if",2
"i","think","this","is",2
"i","thought","about","it",2
"i","thought","i","looked",2
"i","thought","i","might",2
"i","thought","she","was",2
"i","thought","would","be",2
"i","thought","you","were",2
"i","took","some","time",2
"i","took","that","as",2
"i","tried","to","get",2
"i","tried","to","keep",2
"i","tried","to","make",2
"i","try","to","be",2
"i","used","to","make",2
"i","want","to","buy",2
"i","want","to","celebrate",2
"i","want","to","focus",2
"i","want","to","move",2
"i","want","to","see",2
"i","wanted","to","be",2
"i","wanted","to","change",2
"i","wanted","to","try",2
"i","was","angry","at",2
"i","was","delighted","to",2
"i","was","determined","to",2
"i","was","feeling","a",2
"i","was","getting","a",2
"i","was","in","a",2
"i","was","in","the",2
"i","was","looking","at",2
"i","was","on","my",2
"i","was","out","of",2
"i","was","prepared","for",2
"i","was","so","happy",2
"i","was","stunned","to",2
"i","was","taken","by",2
"i","was","the","one",2
"i","was","there","when",2
"i","was","thinking","about",2
"i","was","told","to",2
"i","was","too","busy",2
"i","was","years","old",2
"i","wasnt","supposed","to",2
"i","went","out","to",2
"i","went","to","a",2
"i","went","to","bed",2
"i","will","be","back",2
"i","will","be","making",2
"i","will","definitely","be",2
"i","will","have","a",2
"i","will","have","to",2
"i","will","make","the",2
"i","will","share","with",2
"i","will","show","you",2
"i","will","start","a",2
"i","will","tell","you",2
"i","woke","up","to",2
"i","wonder","how","many",2
"i","wonder","if","she",2
"i","wondered","if","i",2
"i","wondered","to","myself",2
"i","would","be","more",2
"i","would","have","no",2
"i","would","have","to",2
"i","would","never","have",2
"i","would","rather","be",2
"i","would","recommend","that",2
"i","would","recommend","this",2
"i","would","say","it",2
"i","would","think","that",2
"id","much","rather","be",2
"id","never","heard","of",2
"idea","in","my","head",2
"idea","what","i","was",2
"idea","who","i","am",2
"if","i","can","find",2
"if","i","could","just",2
"if","i","didnt","have",2
"if","i","go","to",2
"if","i","had","a",2
"if","i","had","gone",2
"if","i","have","a",2
"if","i","have","the",2
"if","i","have","to",2
"if","i","made","a",2
"if","i","try","to",2
"if","i","wanted","to",2
"if","i","were","a",2
"if","i","were","to",2
"if","im","being","completely",2
"if","like","me","you",2
"if","not","for","our",2
"if","she","were","a",2
"if","that","is","the",2
"if","that","is","what",2
"if","that","makes","sense",2
"if","there","is","no",2
"if","there","was","any",2
"if","they","do","not",2
"if","they","have","a",2
"if","they","have","been",2
"if","they","want","to",2
"if","we","equate","materialism",2
"if","you","ask","me",2
"if","you","can","say",2
"if","you","dont","use",2
"if","you","dont","want",2
"if","you","havent","seen",2
"if","you","know","of",2
"if","you","like","it",2
"if","you","or","your",2
"if","you","say","it",2
"if","you","start","with",2
"if","you","try","this",2
"if","you","were","my",2
"if","youre","interested","in",2
"if","youre","looking","for",2
"if","youve","been","reading",2
"if","youve","got","a",2
"ignore","reality","in","favour",2
"ill","let","you","know",2
"ill","pick","up","a",2
"ill","try","to","find",2
"im","being","completely","honest",2
"im","finally","getting","around",2
"im","glad","to","have",2
"im","going","to","admit",2
"im","going","to","have",2
"im","going","to","look",2
"im","going","to","share",2
"im","going","to","take",2
"im","going","to","try",2
"im","here","to","tell",2
"im","not","a","fan",2
"im","not","a","huge",2
"im","not","saying","it",2
"im","on","a","first",2
"im","pretty","sure","that",2
"im","probably","the","only",2
"im","ready","for","the",2
"im","ready","to","hear",2
"im","still","in","the",2
"im","still","not","sure",2
"im","supposed","to","be",2
"im","waiting","for","the",2
"impact","on","the","lives",2
"important","places","to","us",2
"in","a","bad","way",2
"in","a","double","boiler",2
"in","a","few","days",2
"in","a","few","more",2
"in","a","food","processor",2
"in","a","kind","of",2
"in","a","large","bowl",2
"in","a","minute","but",2
"in","a","mixing","bowl",2
"in","a","previous","post",2
"in","a","small","bowl",2
"in","a","small","town",2
"in","a","way","to",2
"in","a","world","where",2
"in","accordance","with","the",2
"in","according","to","the",2
"in","all","it","was",2
"in","all","of","their",2
"in","all","sorts","of",2
"in","an","airtight","container",2
"in","and","out","of",2
"in","anticipation","of","a",2
"in","awe","of","the",2
"in","black","and","white",2
"in","control","of","my",2
"in","fact","according","to",2
"in","fact","all","the",2
"in","fact","i","have",2
"in","favour","of","the",2
"in","force","and","effect",2
"in","front","of","a",2
"in","front","of","an",2
"in","front","of","her",2
"in","front","of","his",2
"in","front","of","my",2
"in","front","of","their",2
"in","front","of","us",2
"in","his","book","the",2
"in","item","b","above",2
"in","large","part","because",2
"in","love","with","the",2
"in","love","with","what",2
"in","mind","that","the",2
"in","more","than","a",2
"in","my","case","i",2
"in","my","etsy","shop",2
"in","my","experience","the",2
"in","my","last","post",2
"in","my","life","so",2
"in","my","life","when",2
"in","my","lifetime","i",2
"in","my","living","room",2
"in","my","opinion","and",2
"in","my","opinion","it",2
"in","my","own","little",2
"in","next","st","dc",2
"in","no","small","part",2
"in","one","of","my",2
"in","order","to","achieve",2
"in","order","to","help",2
"in","order","to","not",2
"in","other","parts","of",2
"in","other","words","the",2
"in","our","kitchen","that",2
"in","prices","at","the",2
"in","reference","to","the",2
"in","so","far","as",2
"in","so","many","ways",2
"in","such","a","case",2
"in","terms","of","the",2
"in","that","it","is",2
"in","that","it","would",2
"in","that","type","of",2
"in","the","absence","of",2
"in","the","aftermath","of",2
"in","the","air","but",2
"in","the","area","so",2
"in","the","beginning","of",2
"in","the","bottom","of",2
"in","the","bowl","of",2
"in","the","car","for",2
"in","the","center","where",2
"in","the","city","he",2
"in","the","classroom","and",2
"in","the","comment","section",2
"in","the","contest","in",2
"in","the","corner","of",2
"in","the","day","to",2
"in","the","days","of",2
"in","the","dining","room",2
"in","the","distance","and",2
"in","the","early","s",2
"in","the","evening","he",2
"in","the","eye","and",2
"in","the","eyes","of",2
"in","the","field","of",2
"in","the","first","paragraph",2
"in","the","front","of",2
"in","the","future","as",2
"in","the","future","the",2
"in","the","hills","with",2
"in","the","house","of",2
"in","the","house","to",2
"in","the","imperial","cult",2
"in","the","last","years",2
"in","the","lives","of",2
"in","the","lord","and",2
"in","the","meantime","im",2
"in","the","media","and",2
"in","the","medical","system",2
"in","the","middle","east",2
"in","the","month","of",2
"in","the","mood","to",2
"in","the","morning","feeling",2
"in","the","morning","to",2
"in","the","near","future",2
"in","the","new","york",2
"in","the","past","days",2
"in","the","past","few",2
"in","the","photo","that",2
"in","the","place","of",2
"in","the","premier","league",2
"in","the","realm","of",2
"in","the","rest","of",2
"in","the","right","direction",2
"in","the","same","room",2
"in","the","season","and",2
"in","the","season","opener",2
"in","the","second","quarter",2
"in","the","state","of",2
"in","the","summer","of",2
"in","the","town","and",2
"in","the","upper","left",2
"in","the","us","and",2
"in","the","us","house",2
"in","the","waiting","room",2
"in","the","winter","and",2
"in","the","world","and",2
"in","the","world","can",2
"in","the","world","is",2
"in","the","world","that",2
"in","the","year","of",2
"in","their","own","way",2
"in","this","regard","the",2
"in","this","same","region",2
"in","touch","with","the",2
"in","trying","to","gain",2
"in","two","ways","by",2
"in","very","different","ways",2
"in","which","they","have",2
"in","which","they","were",2
"include","but","are","not",2
"indeed","lucrative","tradition","of",2
"infant","formula","supplemented","with",2
"information","can","be","found",2
"instead","of","having","to",2
"integral","part","of","the",2
"internet","access","and","phone",2
"interview","by","clicking","here",2
"into","slices","and","enjoy",2
"into","the","car","and",2
"into","the","flow","of",2
"into","this","when","sal",2
"invite","you","all","to",2
"is","a","bit","more",2
"is","a","case","in",2
"is","a","lot","of",2
"is","a","mix","of",2
"is","a","really","good",2
"is","a","very","important",2
"is","allowed","some","say",2
"is","always","the","same",2
"is","an","example","of",2
"is","by","no","means",2
"is","definitely","going","to",2
"is","different","from","having",2
"is","entirely","different","from",2
"is","giving","away","one",2
"is","god","that","justifieth",2
"is","going","on","so",2
"is","going","to","change",2
"is","going","to","do",2
"is","hard","to","say",2
"is","i","want","to",2
"is","in","fact","a",2
"is","it","possible","that",2
"is","just","a","little",2
"is","just","one","of",2
"is","kind","of","a",2
"is","little","doubt","that",2
"is","more","and","more",2
"is","more","likely","to",2
"is","no","longer","with",2
"is","no","such","thing",2
"is","not","a","bad",2
"is","not","a","fan",2
"is","not","a","moment",2
"is","not","just","a",2
"is","not","mentally","complete",2
"is","not","one","of",2
"is","not","something","that",2
"is","not","the","same",2
"is","not","to","say",2
"is","nothing","short","of",2
"is","off","track","start",2
"is","part","of","a",2
"is","part","of","everything",2
"is","part","of","the",2
"is","probably","one","of",2
"is","so","patient","with",2
"is","so","strong","that",2
"is","strong","enough","to",2
"is","that","a","reason",2
"is","that","i","just",2
"is","that","they","have",2
"is","the","best","way",2
"is","the","case","then",2
"is","the","duty","of",2
"is","the","fact","that",2
"is","the","first","step",2
"is","the","kind","of",2
"is","the","latin","abbreviation",2
"is","the","lord","who",2
"is","the","meaning","of",2
"is","the","most","important",2
"is","the","nature","of",2
"is","the","one","who",2
"is","the","percentage","of",2
"is","the","primary","function",2
"is","the","recipe","for",2
"is","the","right","balance",2
"is","the","sense","of",2
"is","the","way","to",2
"is","there","really","a",2
"is","to","add","a",2
"is","to","be","a",2
"is","to","be","the",2
"is","to","be","worshipped",2
"is","to","get","the",2
"is","to","say","anything",2
"is","waiting","for","the",2
"is","worst","in","the",2
"isnt","it","true","that",2
"it","all","started","with",2
"it","all","the","time",2
"it","almost","seems","like",2
"it","and","i","think",2
"it","and","the","next",2
"it","any","other","way",2
"it","at","the","beginning",2
"it","be","too","much",2
"it","because","it","is",2
"it","but","they","are",2
"it","can","be","done",2
"it","comes","to","our",2
"it","did","have","a",2
"it","eat","it","shit",2
"it","even","if","i",2
"it","for","the","first",2
"it","for","the","last",2
"it","had","been","a",2
"it","had","in","the",2
"it","has","a","nice",2
"it","has","always","been",2
"it","has","been","in",2
"it","has","made","it",2
"it","has","not","been",2
"it","has","taken","away",2
"it","has","to","be",2
"it","i","thought","i",2
"it","if","that","makes",2
"it","in","for","me",2
"it","in","front","of",2
"it","is","a","great",2
"it","is","a","really",2
"it","is","accepted","that",2
"it","is","also","a",2
"it","is","always","the",2
"it","is","clear","that",2
"it","is","god","that",2
"it","is","going","to",2
"it","is","hard","to",2
"it","is","important","for",2
"it","is","in","fact",2
"it","is","nice","to",2
"it","is","not","even",2
"it","is","really","about",2
"it","is","still","october",2
"it","is","such","a",2
"it","is","supposed","to",2
"it","is","the","duty",2
"it","is","the","lord",2
"it","is","the","most",2
"it","is","thought","that",2
"it","is","too","much",2
"it","looks","as","if",2
"it","may","be","that",2
"it","might","be","a",2
"it","might","be","that",2
"it","might","even","be",2
"it","never","occurred","to",2
"it","off","to","the",2
"it","on","your","own",2
"it","onto","black","card",2
"it","or","not","i",2
"it","reminds","me","of",2
"it","seemed","to","me",2
"it","seems","as","if",2
"it","seems","as","though",2
"it","seems","like","the",2
"it","seems","that","a",2
"it","such","a","wonderful",2
"it","takes","more","than",2
"it","the","entire","time",2
"it","to","be","a",2
"it","to","go","away",2
"it","to","the","reader",2
"it","took","me","a",2
"it","turns","out","that",2
"it","turns","out","there",2
"it","was","a","beautiful",2
"it","was","a","blast",2
"it","was","a","day",2
"it","was","a","good",2
"it","was","a","scene",2
"it","was","a","very",2
"it","was","actually","a",2
"it","was","at","the",2
"it","was","cool","but",2
"it","was","great","too",2
"it","was","hard","to",2
"it","was","in","the",2
"it","was","in","this",2
"it","was","intended","to",2
"it","was","just","a",2
"it","was","just","an",2
"it","was","just","as",2
"it","was","just","that",2
"it","was","my","first",2
"it","was","nice","and",2
"it","was","not","her",2
"it","was","only","a",2
"it","was","the","reason",2
"it","was","to","be",2
"it","was","tons","of",2
"it","was","too","late",2
"it","was","worth","the",2
"it","wasnt","until","i",2
"it","will","continue","to",2
"it","will","look","like",2
"it","worked","very","well",2
"it","would","be","best",2
"it","would","be","good",2
"it","would","be","to",2
"it","would","be","unfair",2
"it","would","just","be",2
"its","a","waste","of",2
"its","been","a","week",2
"its","good","enough","for",2
"its","hard","to","believe",2
"its","just","a","weird",2
"its","just","that","i",2
"its","kind","of","hard",2
"its","like","to","live",2
"its","never","too","late",2
"its","not","like","you",2
"its","one","of","my",2
"its","one","thing","to",2
"its","really","hard","to",2
"its","the","middle","of",2
"its","time","for","me",2
"its","time","for","the",2
"its","time","to","move",2
"its","time","to","take",2
"ive","also","been","working",2
"ive","always","had","a",2
"ive","always","wanted","to",2
"ive","been","able","to",2
"ive","been","having","a",2
"ive","got","a","lot",2
"ive","got","to","get",2
"ive","never","been","a",2
"ive","never","heard","of",2
"ive","seen","a","few",2
"jumps","at","the","chance",2
"jumps","over","the","lazy",2
"just","a","few","days",2
"just","a","pile","of",2
"just","about","anything","else",2
"just","as","i","was",2
"just","as","you","are",2
"just","enough","time","to",2
"just","going","to","be",2
"just","going","to","have",2
"just","got","home","from",2
"just","how","much","i",2
"just","in","time","to",2
"just","one","or","two",2
"just","the","right","amount",2
"just","tired","of","talking",2
"just","wasnt","in","it",2
"just","when","i","think",2
"keep","in","mind","that",2
"keep","it","a","feast",2
"kind","of","thing","that",2
"kind","you","send","to",2
"knew","it","would","be",2
"know","better","than","to",2
"know","how","it","goes",2
"know","how","to","approach",2
"know","if","it","would",2
"know","in","the","comments",2
"know","it","at","the",2
"know","that","i","am",2
"know","that","this","is",2
"know","the","answer","to",2
"know","the","ending","to",2
"know","what","youre","thinking",2
"know","where","i","was",2
"know","where","to","start",2
"know","whether","the","recipe",2
"know","why","i","was",2
"know","you","will","be",2
"knows","how","much","i",2
"la","la","la","la",2
"last","couple","of","years",2
"last","night","was","so",2
"last","week","i","was",2
"last","week","we","had",2
"last","year","i","have",2
"later","i","got","an",2
"later","in","the","year",2
"latin","abbreviation","for","anno",2
"launched","from","gaza","into",2
"law","of","the","land",2
"learn","how","to","build",2
"learn","how","to","use",2
"learned","a","lot","about",2
"least","not","the","way",2
"least","now","i","know",2
"leave","me","a","comment",2
"leaves","are","made","with",2
"legislate","on","those","matters",2
"legislative","powers","to","the",2
"less","than","copies","of",2
"less","than","half","the",2
"lest","we","forget","that",2
"let","go","of","the",2
"let","me","give","you",2
"let","me","know","and",2
"let","me","know","that",2
"let","me","say","that",2
"letting","it","go","it",2
"level","chance","to","deal",2
"lies","in","the","fact",2
"life","i","have","been",2
"life","of","me","i",2
"light","and","fluffy","add",2
"like","a","chance","to",2
"like","a","duck","and",2
"like","a","lot","of",2
"like","i","have","a",2
"like","me","so","much",2
"like","the","idea","of",2
"like","the","way","it",2
"limp","wrist","you","walk",2
"link","to","this","pattern",2
"little","about","me","i",2
"little","bit","he","said",2
"little","bit","more","of",2
"little","corner","of","the",2
"little","in","the","way",2
"little","red","riding","hood",2
"little","to","do","with",2
"live","like","we","want",2
"long","and","indeed","lucrative",2
"look","and","feel","like",2
"look","at","some","of",2
"look","forward","to","seeing",2
"look","on","his","face",2
"looked","at","each","other",2
"looked","at","me","and",2
"looking","forward","to","seeing",2
"lord","and","he","will",2
"lord","of","the","rings",2
"lord","your","god","with",2
"lost","a","lot","of",2
"lot","of","hard","work",2
"lot","of","time","and",2
"lot","of","time","but",2
"love","that","says","jason",2
"love","the","idea","of",2
"love","the","lord","your",2
"love","this","film","and",2
"love","to","have","a",2
"love","with","what","we",2
"luck","would","have","it",2
"lucky","to","have","a",2
"made","a","mistake","on",2
"made","eye","contact","with",2
"made","in","the","usa",2
"made","it","clear","that",2
"made","me","want","to",2
"made","with","magnetic","letters",2
"make","an","impact","on",2
"make","it","work","for",2
"make","sure","that","you",2
"make","the","world","a",2
"make","up","for","it",2
"makes","it","easy","to",2
"makes","me","think","of",2
"making","more","of","these",2
"man","and","a","woman",2
"man","for","the","man",2
"man","up","give","him",2
"managed","to","get","some",2
"many","of","the","same",2
"many","of","the","students",2
"many","of","us","have",2
"many","of","us","still",2
"march","compared","to","million",2
"material","comfort","and","security",2
"matter","that","pauls","encouragement",2
"may","be","able","to",2
"may","be","looking","to",2
"may","have","had","a",2
"may","not","be","able",2
"may","not","be","the",2
"may","participate","in","the",2
"me","and","i","cant",2
"me","at","the","end",2
"me","by","a","friend",2
"me","feel","a","little",2
"me","for","a","long",2
"me","i","have","a",2
"me","i","waited","pointlessly",2
"me","in","the","past",2
"me","say","that","i",2
"me","what","i","want",2
"me","when","i","was",2
"media","and","entertainment","industry",2
"members","of","the","party",2
"men","and","women","to",2
"merchants","website","by","click",2
"message","on","my","phone",2
"metaphors","and","similes","are",2
"microsoft","security","response","center",2
"middle","of","nowhere","past",2
"might","as","well","have",2
"might","not","be","able",2
"might","not","be","so",2
"mile","and","it","was",2
"million","in","the","first",2
"million","in","the","past",2
"mode","of","life","dominated",2
"mom","i","have","a",2
"more","and","more","alive",2
"more","and","more","that",2
"more","careful","in","the",2
"more","than","a","dozen",2
"more","than","a","single",2
"more","than","any","other",2
"more","than","anything","else",2
"more","than","double","any",2
"more","than","i","ever",2
"more","than","i","was",2
"more","than","just","the",2
"most","of","the","day",2
"mother","back","to","life",2
"move","out","of","the",2
"much","a","part","of",2
"much","as","i","am",2
"much","as","i","could",2
"much","as","it","is",2
"much","as","the","first",2
"much","for","me","to",2
"much","for","stopping","by",2
"much","money","as","possible",2
"much","money","they","had",2
"much","more","of","a",2
"much","more","than","i",2
"much","time","on","their",2
"my","body","could","have",2
"my","dear","friend","in",2
"my","fault","that","you",2
"my","favorite","way","to",2
"my","first","thought","was",2
"my","friends","and","family",2
"my","goal","is","to",2
"my","heart","just","wasnt",2
"my","life","as","a",2
"my","life","i","have",2
"my","life","i","was",2
"my","life","is","not",2
"my","son","and","i",2
"my","way","home","from",2
"myself","a","big","fat",2
"myself","for","a","few",2
"myself","that","this","was",2
"myself","to","the","fact",2
"navigate","their","way","through",2
"need","i","say","more",2
"need","to","be","a",2
"need","to","do","a",2
"need","to","figure","out",2
"need","to","go","out",2
"need","to","have","somebody",2
"need","to","leave","a",2
"need","to","remember","to",2
"need","to","work","on",2
"needless","to","say","it",2
"needs","to","be","said",2
"needs","to","have","a",2
"never","be","the","same",2
"never","been","so","excited",2
"never","going","to","be",2
"never","had","the","chance",2
"never","occurred","to","me",2
"never","settle","for","what",2
"never","thought","of","it",2
"never","would","have","thought",2
"new","heavens","and","new",2
"new","years","eve","and",2
"new","york","and","the",2
"new","york","city","was",2
"news","of","the","world",2
"next","and","the","next",2
"next","st","dc","in",2
"no","criminal","record","and",2
"no","idea","what","i",2
"no","idea","what","it",2
"no","im","not","going",2
"no","matter","how","many",2
"no","matter","what","i",2
"no","more","than","a",2
"no","one","else","has",2
"no","such","thing","as",2
"none","of","them","are",2
"none","of","them","have",2
"north","dakota","snowmobile","trail",2
"not","a","bad","thing",2
"not","a","huge","fan",2
"not","appear","to","have",2
"not","as","good","as",2
"not","be","reached","for",2
"not","be","the","right",2
"not","because","of","the",2
"not","enough","for","me",2
"not","in","control","of",2
"not","like","i","dont",2
"not","meet","the","criteria",2
"not","only","because","of",2
"not","only","for","the",2
"not","so","long","ago",2
"not","so","much","in",2
"not","stay","in","the",2
"not","sure","how","much",2
"not","sure","what","to",2
"not","sure","why","but",2
"not","sure","why","its",2
"not","the","end","of",2
"not","the","kind","of",2
"not","the","only","way",2
"not","the","way","you",2
"not","to","say","that",2
"not","to","think","about",2
"not","want","to","be",2
"note","that","you","can",2
"now","and","i","cant",2
"now","and","then","i",2
"now","i","am","just",2
"now","i","dont","know",2
